# If these change, please ensure the no-effect times are still correct.
#
# Acronyms:                                      No-effect times:
#   lvo:  large-vessel occlusion                 IVT: 378mins (6.3hr)
#   nlvo: non-large-vessel occlusion             MT:  480mins (8hr)
#   ivt:  intra-veneous thrombolysis
#   mt:   mechanical thrombectomy
#   t0:   time zero, zero minutes after stroke onset.
#
Stroke type,mRS<=0,mRS<=1,mRS<=2,mRS<=3,mRS<=4,mRS<=5,mRS<=6
pre_stroke_nlvo,0.583,0.746,0.85,0.951,0.993,1,1
pre_stroke_lvo,0.408,0.552,0.672,0.838,0.956,1,1
no_treatment_lvo,0.05,0.129,0.265,0.429,0.676,0.811,1
no_treatment_nlvo,0.198,0.46,0.58,0.708,0.856,0.918,1
no_effect_nlvo_ivt_deaths,0.196,0.455,0.574,0.701,0.847,0.908,1
no_effect_lvo_ivt_deaths,0.048,0.124,0.255,0.414,0.653,0.783,1
no_effect_lvo_mt_deaths,0.048,0.124,0.255,0.412,0.649,0.779,1
t0_treatment_nlvo_ivt,0.445,0.642,0.752,0.862,0.941,0.967,1
t0_treatment_lvo_ivt,0.14,0.233,0.361,0.522,0.73,0.838,1
t0_treatment_lvo_mt,0.306,0.429,0.548,0.707,0.851,0.915,1
